ticker,rows_raw,rows_features,feature_dim,first_date,last_date
AAPL,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
MSFT,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
NVDA,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
AMZN,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
GOOGL,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
META,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
AVGO,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
AMD,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
INTC,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
TSLA,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
JNJ,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
PG,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
KO,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
PEP,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
JPM,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
BAC,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
XOM,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
CVX,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
CAT,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
HON,1509,1238,15,2019-01-31 00:00:00,2023-12-29 00:00:00
